iter	Passed	Remaining
0	7	7361
1	15	7883
2	24	8231
3	33	8376
4	43	8650
5	54	8991
6	64	9154
7	74	9251
8	85	9410
9	96	9595
10	105	9498
11	114	9465
12	124	9488
13	135	9526
14	144	9458
15	150	9256
16	156	9038
17	162	8889
18	172	8906
19	181	8917
20	191	8935
21	201	8953
22	211	8964
23	220	8981
24	231	9009
25	240	9020
26	250	9031
27	260	9038
28	269	9038
29	280	9058
30	290	9083
31	301	9131
32	312	9165
33	323	9204
34	333	9183
35	342	9161
36	351	9149
37	360	9135
38	370	9137
39	380	9143
40	391	9155
41	402	9179
42	412	9169
43	422	9172
44	432	9173
45	442	9167
46	451	9162
47	461	9159
48	472	9167
49	482	9172
50	493	9178
51	502	9168
52	511	9139
53	519	9100
54	527	9055
55	538	9074
56	547	9065
57	561	9113
58	572	9130
59	583	9139
60	594	9156
61	605	9167
62	617	9186
63	627	9183
64	635	9148
65	646	9146
66	657	9157
67	668	9161
68	679	9166
69	689	9163
70	700	9161
71	707	9121
72	713	9062
73	719	8998
74	725	8945
75	731	8890
76	741	8883
77	750	8874
78	759	8859
79	770	8856
80	779	8848
81	787	8821
82	797	8816
83	805	8786
84	815	8782
85	826	8782
86	838	8797
87	846	8775
88	855	8755
89	864	8737
90	874	8731
91	882	8710
92	891	8691
93	900	8682
94	910	8677
95	919	8663
96	928	8648
97	936	8618
98	943	8588
99	951	8566
100	960	8546
101	969	8533
102	978	8517
103	986	8498
104	994	8473
105	1001	8449
106	1009	8424
107	1017	8401
108	1024	8377
109	1032	8354
110	1040	8330
111	1047	8308
112	1055	8284
113	1063	8263
114	1071	8244
115	1079	8224
116	1087	8207
117	1095	8190
118	1103	8171
119	1113	8168
120	1122	8156
121	1131	8146
122	1140	8134
123	1150	8128
124	1159	8113
125	1167	8098
126	1176	8084
127	1184	8070
128	1192	8053
129	1201	8038
130	1209	8024
131	1218	8009
132	1226	7994
133	1234	7980
134	1243	7967
135	1252	7953
136	1260	7938
137	1268	7925
138	1279	7927
139	1289	7924
140	1299	7919
141	1308	7905
142	1319	7908
143	1331	7913
144	1341	7912
145	1352	7911
146	1363	7914
147	1374	7910
148	1382	7896
149	1393	7895
150	1401	7878
151	1409	7862
152	1417	7845
153	1425	7831
154	1434	7818
155	1442	7804
156	1450	7789
157	1459	7777
158	1468	7764
159	1476	7749
160	1484	7734
161	1492	7721
162	1500	7706
163	1509	7693
164	1517	7679
165	1525	7664
166	1535	7660
167	1544	7648
168	1553	7637
169	1562	7630
170	1571	7619
171	1579	7605
172	1588	7593
173	1597	7582
174	1605	7569
175	1614	7557
176	1622	7546
177	1631	7533
178	1639	7519
179	1647	7506
180	1656	7493
181	1664	7481
182	1672	7467
183	1680	7454
184	1689	7442
185	1698	7432
186	1706	7417
187	1714	7404
